,STAAR Score in Math (2019-2021),STAAR Score in Reading (2019-2021),STAAR Score in Math (2021-2022),STAAR Score in Reading (2021-2022),STAAR Score in Math (2019-2022),STAAR Score in Reading (2019-2022),County #,County Name,Labor Force (2019-2021),Employed Persons Difference (2021-2019),Umemployed Persons Difference (2021-2019),Unemployment Rate Difference (2021-2019),FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021,FTE Teachers 2021-2022,Total Staff 2021-2022,Total Students 2021-2022,Number of Teachers (2019-2021),Number of Overall Staff (2019-2021),Number of Students (2019-2021),Number of Teachers (2021-2022),Number of Overall Staff (2021-2022),Number of Students (2021-2022),Number of Teachers (2019-2022),Number of Overall Staff (2019-2022),Number of Students (2019-2022)
0,-2,0,2,0,0,1,48001,Anderson,0,-0.02,0.65,0.66,95.96,185.88,1186.57,96.27,196.87,1137.29,96.61,201.03,1133.0,0,6,-4,0,2,0,1,8,-5
1,-2,1,2,0,0,1,48003,Andrews,-8,-0.12,1.35,1.57,264.19,508.27,4319.0,287.18,559.88,4128.0,287.87,572.36,4147.0,9,10,-4,0,2,0,9,13,-4
2,-2,0,1,0,-2,0,48005,Angelina,1,-0.01,0.64,0.62,180.98,380.43,2458.14,183.47,390.04,2318.86,183.4,392.25,2325.29,1,3,-6,0,1,0,1,3,-5
3,-4,0,2,-1,-2,0,48007,Aransas,1,-0.02,0.71,0.7,214.93,467.53,2829.0,217.46,452.82,3010.0,207.35,443.8,3005.0,1,-3,6,-5,-2,0,-4,-5,6
4,-2,1,3,-1,0,0,48009,Archer,0,-0.01,0.49,0.5,51.93,94.0,652.0,54.22,97.79,668.33,55.79,102.6,722.0,4,4,3,3,5,8,7,9,11
5,2,3,0,-1,2,2,48011,Armstrong,0,-0.01,0.32,0.33,35.22,58.16,359.0,30.18,51.58,316.0,29.76,50.24,307.0,-14,-11,-12,-1,-3,-3,-16,-14,-14
6,-2,1,1,0,-1,1,48013,Atascosa,2,-0.01,0.75,0.72,124.97,260.33,1814.2,134.48,279.03,1756.2,131.74,278.71,1754.8,8,7,-3,-2,0,0,5,7,-3
7,-2,0,1,-1,-1,0,48015,Austin,-1,-0.03,0.59,0.62,145.12,280.2,1956.0,147.59,278.62,1935.0,143.76,279.32,1931.0,2,-1,-1,-3,0,0,-1,0,-1
8,-1,0,1,0,-1,0,48017,Bailey,-2,-0.04,0.31,0.32,115.57,223.52,1417.0,113.54,219.96,1337.0,116.25,230.66,1348.0,-2,-2,-6,2,5,1,1,3,-5
9,-2,1,1,0,-1,0,48019,Bandera,3,0.01,0.47,0.42,89.16,181.86,1270.0,91.01,189.1,1246.0,94.31,192.34,1285.5,2,4,-2,4,2,3,6,6,1
10,-7,0,2,-1,-5,-1,48021,Bastrop,7,0.05,0.56,0.45,289.59,527.88,4430.5,299.94,573.09,4530.0,301.0,595.87,4774.25,4,9,2,0,4,5,4,13,8
11,-2,-1,3,0,1,0,48023,Baylor,5,0.04,0.56,0.48,49.6,96.53,582.0,49.79,95.34,621.0,54.0,104.21,620.0,0,-1,7,8,9,0,9,8,7
12,-4,0,3,1,-1,0,48025,Bee,-4,-0.09,0.89,0.98,70.78,155.37,1066.4,70.34,161.68,1008.6,67.94,169.63,1014.8,-1,4,-5,-3,5,1,-4,9,-5
13,-3,0,2,0,-2,0,48027,Bell,4,0.02,0.55,0.46,486.06,1014.92,7341.1,485.31,1040.48,7302.4,478.83,1048.85,7407.5,0,3,-1,-1,1,1,-1,3,1
14,-3,2,4,1,1,3,48029,Bexar,1,-0.01,0.72,0.69,711.82,1444.9,10943.26,729.34,1490.69,10742.13,728.48,1504.99,10758.52,2,3,-2,0,1,0,2,4,-2
15,-4,-1,1,0,-2,-1,48031,Blanco,7,0.06,0.45,0.38,65.74,125.9,830.5,69.0,133.35,812.5,68.7,136.84,880.0,5,6,-2,0,3,8,4,9,6
16,0,1,3,-1,3,0,48033,Borden,45,0.45,0.4,-0.04,20.1,45.89,214.0,21.87,51.3,231.0,23.29,51.45,245.0,9,12,8,6,0,6,16,12,14
17,1,4,2,0,3,4,48035,Bosque,3,0.01,0.37,0.35,30.06,58.25,324.57,29.67,58.12,306.14,30.58,58.77,311.57,-1,0,-6,3,1,2,2,1,-4
18,0,3,1,-1,1,1,48037,Bowie,0,-0.02,0.31,0.32,108.05,204.42,1373.15,110.3,209.97,1379.31,112.24,218.65,1339.08,2,3,0,2,4,-3,4,7,-2
19,-2,1,2,0,0,1,48039,Brazoria,1,-0.01,0.65,0.64,581.55,1177.28,9088.38,608.81,1230.12,8994.38,609.09,1233.66,9126.75,5,4,-1,0,0,1,5,5,0
20,-19,-13,55,31,0,1,48041,Brazos,3,0.02,0.57,0.52,545.93,1110.01,7648.75,571.57,1174.2,7610.75,565.41,1179.21,7790.25,5,6,0,-1,0,2,4,6,2
21,-19,-11,-2,-18,-20,-23,48043,Brewster,1,-0.01,0.57,0.55,36.39,75.38,390.0,33.45,71.75,377.33,35.94,72.06,380.67,-8,-5,-3,7,0,1,-1,-4,-2
22,-1,1,2,-1,1,0,48045,Briscoe,1,-0.01,0.35,0.34,20.36,35.64,206.0,21.7,36.22,191.5,22.58,36.85,190.0,7,2,-7,4,2,-1,11,3,-8
23,-5,-2,2,0,-3,-1,48047,Brooks,-3,-0.08,0.75,0.8,102.61,217.89,1568.0,102.61,214.46,1438.0,93.39,192.16,1342.0,0,-2,-8,-9,-10,-7,-9,-12,-14
24,-1,0,1,0,-1,0,48049,Brown,-1,-0.03,0.38,0.41,74.47,141.18,937.86,73.77,138.69,881.43,73.97,140.84,892.86,-1,-2,-6,0,2,1,-1,0,-5
25,1,1,1,0,2,1,48051,Burleson,3,0.01,0.64,0.61,74.15,135.73,934.67,77.57,158.73,905.0,79.45,166.96,971.33,5,17,-3,2,5,7,7,23,4
26,-2,0,1,0,-1,0,48053,Burnet,6,0.04,0.44,0.37,264.99,568.7,3735.5,266.21,578.07,3606.0,264.68,570.05,3645.5,0,2,-3,-1,-1,1,0,0,-2
27,-3,0,2,0,0,0,48055,Caldwell,4,0.03,0.5,0.44,161.53,293.95,2579.0,166.2,316.3,2560.67,177.52,334.12,2601.0,3,8,-1,7,6,2,10,14,1
28,-2,0,1,-1,-1,-1,48057,Calhoun,2,0.0,0.56,0.53,263.89,543.76,3846.0,261.06,548.03,3681.0,273.14,561.21,3576.0,-1,1,-4,5,2,-3,4,3,-7
29,-1,1,2,0,0,1,48059,Callahan,2,0.01,0.54,0.48,55.46,104.68,629.75,54.12,105.84,623.75,55.82,108.0,642.75,-2,1,-1,3,2,3,1,3,2
30,-7,-2,5,1,-2,-1,48061,Cameron,6,0.03,0.57,0.49,682.89,1573.64,10400.33,657.23,1498.09,9704.44,640.46,1483.89,9214.89,-4,-5,-7,-3,-1,-5,-6,-6,-11
31,-3,-2,2,1,-2,-1,48063,Camp,4,0.02,0.48,0.4,198.04,401.51,2356.0,193.03,418.23,2347.0,206.33,435.59,2358.0,-3,4,0,7,4,0,4,8,0
32,-6,-4,7,6,-1,1,48065,Carson,0,-0.01,0.5,0.5,36.49,68.82,405.67,35.98,68.52,393.0,37.09,69.4,382.0,-1,0,-3,3,1,-3,2,1,-6
33,-1,1,2,0,1,1,48067,Cass,1,-0.01,0.57,0.56,64.55,133.54,789.29,66.68,140.74,762.86,69.99,143.05,772.57,3,5,-3,5,2,1,8,7,-2
